Loai,Gia(USD),So phong ngu,So phong tam,Dien tich(feet),Khu vuc,Duong,Vi do,Kinh do,Khu vuc ma hoa,duong ma hoa
Condo for sale,595.0,1,1,574,New York,New York,40.8080535,-73.9426066,0,2
Condo for sale,2799.0,3,3,2350,New York,Brooklyn,40.6676042,-73.9931265,0,3
Co-op for sale,289.0,1,1,520,Kings County,Bay Ridge,40.6339937,-74.0363466,3,37
Co-op for sale,595.0,1,1,2184,New York County,Manhattan,40.7211983,-73.9787559,1,4
Pending,669.0,3,1,1080,New York,Queens,40.7696159,-73.7403605,0,11
House for sale,1288.0,3,4,2184,New York,Queens,40.7701118,-73.8892017,0,11
Co-op for sale,2095.0,4,4,2184,New York,New York,40.7579677,-73.9636757,0,2
Co-op for sale,585.0,3,1,1050,New York,Queens,40.7512505,-73.8814433,0,11
House for sale,699.0,3,2,1538,New York,Staten Island,40.6059609,-74.1644799,0,1
Condo for sale,340.0,1,1,850,Kings County,Coney Island,40.5777691,-73.9719866,3,100
Co-op for sale,199.999,1,1,550,Kings County,Homecrest,40.6079619,-73.9549426,3,85
Pending,2495.0,5,4,4230,New York,New York,40.807581,-73.9505281,0,2
Co-op for sale,799.0,2,2,1043,Kings County,Downtown Brooklyn,40.6985714,-73.9881911,3,62
House for sale,888.888,4,3,2088,New York,Staten Island,40.5469948,-74.1413764,0,1
House for sale,1690.0,3,2,1536,New York,Brooklyn,40.6042182,-73.946797,0,3
House for sale,1449.0,3,4,3600,New York,Staten Island,40.613153,-74.1076394,0,1
Condo for sale,1295.0,2,2,1160,New York County,Manhattan,40.7822235,-73.9509367,1,4
Co-op for sale,599.0,1,1,800,New York County,Manhattan,40.7142822,-73.9792183,1,4
House for sale,628.0,3,2,960,New York,Staten Island,40.5883038,-74.0928759,0,1
Condo for sale,593.0,2,2,1312,Richmond County,Rosebank,40.6151849,-74.0646359,6,110
House for sale,634.9,2,2,2184,New York,Queens,40.7123648,-73.7530514,0,11
Condo for sale,499.9,2,2,960,New York,Staten Island,40.5741868,-74.0960192,0,1
Condo for sale,540.0,3,1,509,New York County,Manhattan,40.7478487,-73.9775903,1,4
House for sale,1950.0,3,2,2184,New York,Queens,40.721482,-73.7883218,0,11
Co-op for sale,379.0,2,1,2184,Queens County,Rego Park,40.7286188,-73.8616623,5,14
Co-op for sale,299.0,1,1,800,Queens County,Elmhurst,40.7365158,-73.8687964,5,9
Multi-family home for sale,850.0,6,3,2230,New York,The Bronx,40.8760983,-73.9021193,0,16
Pending,199.999,9,3,2184,New York,Brooklyn,40.666792,-73.894205,0,3
Multi-family home for sale,899.0,4,3,1892,New York,Brooklyn,40.6344613,-73.9042326,0,3
Multi-family home for sale,1299.0,10,6,4500,New York,Brooklyn,40.6378136,-74.0266176,0,3
House for sale,699.0,3,3,2184,New York,The Bronx,40.8163884,-73.8461253,0,16
Condo for sale,579.0,2,2,750,Queens County,Flushing,40.75467,-73.821996,5,8
House for sale,585.0,3,2,1008,New York,Staten Island,40.6302304,-74.142966,0,1
Co-op for sale,579.0,2,1,2184,Queens County,Flushing,40.7531191,-73.8818757,5,8
Multi-family home for sale,499.0,3,3,2184,New York,Brooklyn,40.6370243,-73.909613,0,3
Contingent,350.0,3,2,1137,Richmond County,Midland Beach,40.579062,-74.1076165,6,134
House for sale,1250.0,3,2,2072,New York,Staten Island,40.6321382,-74.0806123,0,1
Multi-family home for sale,899.0,4,3,2184,New York,Queens,40.7431111,-73.8574241,0,11
Townhouse for sale,1979.0,5,2,3150,New York,Brooklyn,40.6908422,-73.9117096,0,3
House for sale,599.0,3,2,780,New York,Staten Island,40.5880538,-74.0858781,0,1
House for sale,779.0,4,2,2188,New York,Staten Island,40.6445045,-74.0818972,0,1
Contingent,350.0,3,2,1137,Richmond County,Midland Beach,40.579062,-74.1076165,6,134
Multi-family home for sale,899.0,4,3,2184,New York,Queens,40.7431111,-73.8574241,0,11
Co-op for sale,1195.0,2,2,2184,New York County,Manhattan,40.783637,-73.9719146,1,4
Condo for sale,1995.0,2,3,1838,New York County,Manhattan,40.720539,-73.979335,1,4
Co-op for sale,564.9,1,1,769,Kings County,Downtown Brooklyn,40.697478,-73.988335,3,62
Multi-family home for sale,1250.0,6,4,2184,New York,Brooklyn,40.6800398,-73.8914993,0,3
Multi-family home for sale,1399.0,4,3,2283,New York,Queens,40.7580197,-73.9140215,0,11
House for sale,1250.0,4,2,3160,New York,Staten Island,40.585661,-74.1059417,0,1
Co-op for sale,335.0,1,1,2184,New York,Queens,40.7547282,-73.8859706,0,11
Multi-family home for sale,685.0,4,2,2000,New York,The Bronx,40.8194513,-73.9001792,0,16
Co-op for sale,279.999,2,1,666,Kings County,Sheepshead Bay,40.5844399,-73.9316116,3,43
Co-op for sale,418.0,2,1,2184,Queens County,Forest Hills,40.7155199,-73.8530199,5,15
Multi-family home for sale,1780.0,10,7,2184,New York,Queens,40.7429826,-73.8945462,0,11
Condo for sale,520.0,2,1,741,New York County,Manhattan,40.8536742,-73.9347275,1,4
House for sale,599.9,3,2,1248,New York,Staten Island,40.5922258,-74.1508322,0,1
Multi-family home for sale,885.0,6,5,2680,New York,The Bronx,40.8236783,-73.8705222,0,16
Co-op for sale,258.0,1,1,650,Kings County,Brighton Beach,40.5759986,-73.960785,3,30
Condo for sale,700.0,2,2,1124,Queens County,Beechhurst,40.7942255,-73.7950678,5,108
House for sale,999.0,4,3,2184,New York,Queens,40.7492036,-73.7045081,0,11
Contingent,898.0,3,1,2744,New York,Staten Island,40.5789553,-74.1138794,0,1
Condo for sale,500.0,1,1,720,New York County,Manhattan,40.7983883,-73.937888,1,4
House for sale,695.0,3,2,1926,New York,Brooklyn,40.6713641,-73.8673475,0,3
Co-op for sale,215.0,3,1,2184,New York,Queens,40.7337965,-73.8620837,0,11
House for sale,759.0,3,1,2184,New York,Queens,40.7142473,-73.8830471,0,11
Co-op for sale,375.0,1,1,1185,Richmond County,Mid Island,40.638118,-74.073964,6,25
Multi-family home for sale,2700.0,24,24,18936,Kings County,Little Haiti,40.6401806,-73.9429395,3,53
Pending,2100.0,3,2,1902,New York,Brooklyn,40.7118832,-73.947991,0,3
Co-op for sale,389.888,1,1,730,New York,Queens,40.7479556,-73.8929488,0,11
Co-op for sale,285.0,1,1,900,Kings County,Brighton Beach,40.5811062,-73.966749,3,30
Co-op for sale,2795.0,4,2,2184,New York County,Manhattan,40.7975649,-73.9720384,1,4
Condo for sale,674.999,3,1,1299,Richmond County,Mid Island,40.6403656,-74.0737574,6,25
House for sale,759.0,3,2,1260,New York,Brooklyn,40.6184347,-73.9113421,0,3
Condo for sale,995.0,2,2,1030,Kings County,Park Slope,40.6655513,-73.9922171,3,29
Co-op for sale,229.0,1,1,2184,Kings County,Sheepshead Bay,40.5874249,-73.9487987,3,43
Co-op for sale,239.0,1,1,800,Bronx County,Spuyten Duyvil,40.880985,-73.9102329,4,36
Co-op for sale,315.0,2,1,2184,New York County,Manhattan,40.8101633,-73.9387972,1,4
House for sale,1100.0,5,3,2192,New York,Queens,40.6500222,-73.844778,0,11
Co-op for sale,225.0,1,1,2184,Queens County,Astoria,40.7753572,-73.9085482,5,92
House for sale,868.0,3,2,1484,New York,Staten Island,40.5802397,-74.1018122,0,1
Multi-family home for sale,1380.0,5,3,2184,New York,Queens,40.7600366,-73.8692081,0,11
House for sale,1100.0,4,2,1800,New York,Staten Island,40.5103369,-74.2424867,0,1
Co-op for sale,865.0,1,1,2184,New York County,Manhattan,40.743373,-73.983626,1,4
Pending,1895.0,3,2,1230,Kings County,Vinegar Hill,40.7032131,-73.9845345,3,135
House for sale,749.0,3,2,1800,New York,Staten Island,40.6105648,-74.1237991,0,1
Multi-family home for sale,775.0,5,2,1600,New York,The Bronx,40.8166622,-73.8139448,0,16
Co-op for sale,2395.0,2,2,1650,New York,New York,40.7588081,-73.9647057,0,2
Multi-family home for sale,2300.0,8,6,4000,New York,Brooklyn,40.608367,-74.0112145,0,3
Condo for sale,700.0,1,2,900,New York County,Manhattan,40.8211582,-73.9445475,1,4
Multi-family home for sale,775.0,5,2,1600,New York,The Bronx,40.8166622,-73.8139448,0,16
House for sale,749.0,3,2,1800,New York,Staten Island,40.6105648,-74.1237991,0,1
Condo for sale,450.0,3,1,494,Kings County,Sunset Park,40.646643,-74.011966,3,89
Co-op for sale,865.0,1,1,2184,New York County,Manhattan,40.743373,-73.983626,1,4
Co-op for sale,280.0,3,1,2184,New York County,Manhattan,40.7737792,-73.9495867,1,4
House for sale,1100.0,4,2,1800,New York,Staten Island,40.5103369,-74.2424867,0,1
Pending,1895.0,3,2,1230,Kings County,Vinegar Hill,40.7032131,-73.9845345,3,135
Pending,560.0,2,1,2184,Kings County,Williamsburg,40.7121147,-73.9626871,3,23
Co-op for sale,198.0,1,1,2184,Queens County,Rego Park,40.720847,-73.858929,5,14
House for sale,1099.0,3,2,1092,New York,Staten Island,40.6038744,-74.0739123,0,1
Co-op for sale,779.0,1,1,800,New York County,Manhattan,40.792004,-73.9767816,1,4
Multi-family home for sale,1880.0,5,2,1850,New York,Brooklyn,40.6184547,-73.9949244,0,3
House for sale,509.0,3,1,1100,New York,The Bronx,40.8181427,-73.8105454,0,16
Condo for sale,499.0,1,1,845,Kings County,Midwood,40.611469,-73.954103,3,6
Co-op for sale,204.888,3,1,2184,Queens County,Forest Hills,40.7284499,-73.8492399,5,15
Multi-family home for sale,1499.0,8,3,3300,New York,The Bronx,40.8998618,-73.852221,0,16
House for sale,1295.0,8,3,3050,New York,Brooklyn,40.578698,-73.9551566,0,3
Condo for sale,395.0,1,1,519,New York,Queens,40.7267616,-73.8294609,0,11
Multi-family home for sale,760.0,4,2,1490,New York,Staten Island,40.6100159,-74.0754726,0,1
House for sale,988.0,4,3,1552,New York,Queens,40.7264779,-73.8093514,0,11
Condo for sale,528.0,2,1,753,New York,Queens,40.7267616,-73.8294609,0,11
Multi-family home for sale,949.0,5,4,2184,New York,Brooklyn,40.6651608,-73.8881575,0,3
Condo for sale,420.0,2,1,840,Richmond County,New Springville,40.5945609,-74.1596635,6,94
Pending,1380.0,6,4,2184,New York,Queens,40.7416665,-73.8173924,0,11
Condo for sale,1750.0,3,2,1494,New York County,Manhattan,40.7847793,-73.9778528,1,4
Co-op for sale,268.0,1,1,850,Queens County,Flushing,40.7741978,-73.8256676,5,8
House for sale,849.0,3,2,2184,New York,Queens,40.7398873,-73.8506134,0,11
Multi-family home for sale,1095.0,3,2,2184,New York,Queens,40.757489,-73.9116062,0,11
Multi-family home for sale,720.0,3,2,2184,New York,Queens,40.6899814,-73.8185297,0,11
Multi-family home for sale,1900.0,3,2,3500,New York,The Bronx,40.8462523,-73.8671523,0,16
House for sale,729.999,3,2,1056,New York,Queens,40.6762428,-73.7945184,0,11
Co-op for sale,425.0,3,1,2184,New York County,Manhattan,40.7957436,-73.9699861,1,4
House for sale,848.0,3,3,1080,New York,Brooklyn,40.6180243,-73.9971092,0,3
Co-op for sale,213.0,3,1,430,Kings County,Kensington,40.6339914,-73.9689071,3,55
Multi-family home for sale,795.0,3,2,1725,New York,Brooklyn,40.6781645,-73.9185084,0,3
Pending,749.0,3,1,2184,New York,Queens,40.7714035,-73.733393,0,11
Condo for sale,1350.0,2,1,2184,New York,Brooklyn,40.6799762,-73.9787904,0,3
Co-op for sale,649.0,2,2,1500,Queens County,Little Neck,40.7568337,-73.715194,5,136
Co-op for sale,439.0,2,1,900,Queens County,Bayside,40.7877465,-73.7810708,5,39
Multi-family home for sale,1699.0,5,5,2184,New York,Queens,40.7691484,-73.9073703,0,11
Condo for sale,2375.0,2,2,986,New York,Queens,40.7478785,-73.9444755,0,11
Co-op for sale,349.999,1,1,2184,Queens County,Rego Park,40.7318958,-73.8599645,5,14
House for sale,425.0,2,1,2184,New York,Queens,40.6779035,-73.799284,0,11
House for sale,1650.0,3,4,2272,New York,Brooklyn,40.5799535,-73.9383472,0,3
Pending,1225.0,4,2,2184,Queens County,Jackson Heights,40.7535399,-73.8868899,5,18
House for sale,699.0,3,2,2184,New York,Brooklyn,40.64539,-73.8897652,0,3
Co-op for sale,1150.0,1,1,984,Kings County,Brooklyn Heights,40.6946221,-73.9969945,3,52
House for sale,2399.0,5,5,2184,New York,Brooklyn,40.6115517,-73.9061979,0,3
Multi-family home for sale,989.0,8,5,3252,New York,The Bronx,40.8850441,-73.8562999,0,16
Co-op for sale,318.888,1,1,875,Queens County,Corona,40.736926,-73.8577614,5,95
Co-op for sale,799.0,2,2,1549,Queens County,Little Neck,40.7568337,-73.715194,5,136
Co-op for sale,489.0,2,1,950,Kings County,Fort Hamilton,40.620502,-74.0396973,3,12
Co-op for sale,398.0,2,1,900,Kings County,Bay Ridge,40.6337679,-74.0305471,3,37
House for sale,1190.0,3,2,1088,New York,Brooklyn,40.5787747,-73.9401956,0,3
Townhouse for sale,795.0,5,2,2184,New York,Brooklyn,40.6678086,-73.8739629,0,3
Multi-family home for sale,750.0,3,4,2184,New York,Brooklyn,40.6463635,-73.9325263,0,3
Condo for sale,899.999,3,3,1750,Queens County,Flushing,40.7654814,-73.8178731,5,8
Townhouse for sale,795.0,5,2,2184,New York,Brooklyn,40.6678086,-73.8739629,0,3
Multi-family home for sale,750.0,3,4,2184,New York,Brooklyn,40.6463635,-73.9325263,0,3
Condo for sale,899.999,3,3,1750,Queens County,Flushing,40.7654814,-73.8178731,5,8
Condo for sale,1325.0,3,2,1597,Kings County,Fort Hamilton,40.6163434,-74.0377889,3,12
Townhouse for sale,595.0,1,2,846,Kings County,Crown Heights,40.6749628,-73.9401841,3,70
Condo for sale,330.0,1,1,726,Richmond County,West Brighton,40.6299335,-74.0999243,6,137
Condo for sale,2998.0,3,3,1763,New York,Queens,40.7465758,-73.9569744,0,11
Co-op for sale,425.0,2,1,2184,Kings County,Bushwick,40.699914,-73.936622,3,46
Co-op for sale,345.0,2,1,1000,Bronx County,Spuyten Duyvil,40.8819273,-73.9172822,4,36
Condo for sale,999.0,2,2,1187,Queens County,Flushing,40.7560001,-73.8293002,5,8
House for sale,450.0,3,2,2184,New York,Queens,40.681047,-73.754428,0,11
Co-op for sale,135.0,2,1,750,Bronx County,Foxhurst,40.8224272,-73.8900397,4,122
Condo for sale,261.25,2,1,857,Bronx County,Foxhurst,40.8245968,-73.8898403,4,122
Condo for sale,728.0,3,2,1450,Queens County,Woodside,40.7436792,-73.8983202,5,87
Pending,199.0,3,2,1100,Bronx County,Concourse Village,40.8344217,-73.914718,4,7
Multi-family home for sale,3200.0,3,2,3735,New York,New York,40.8093495,-73.9398627,0,2
Condo for sale,1950.0,3,3,1300,New York County,Manhattan,40.7770634,-73.9522998,1,4
Co-op for sale,600.0,2,2,900,New York County,Manhattan,40.8535911,-73.9359601,1,4
Multi-family home for sale,3200.0,3,2,3735,New York,New York,40.8093495,-73.9398627,0,2
Condo for sale,569.0,1,1,739,Kings County,Gravesend,40.604365,-73.9757485,3,74
Co-op for sale,749.0,1,1,2184,New York County,Manhattan,40.7241044,-74.0035529,1,4
House for sale,2488.0,4,2,3850,New York,Brooklyn,40.5762337,-73.9511136,0,3
Multi-family home for sale,1138.0,5,3,1026,New York,Brooklyn,40.6240315,-73.9954118,0,3
Multi-family home for sale,1359.0,11,6,2240,New York,Brooklyn,40.6941915,-73.913053,0,3
Multi-family home for sale,974.998,7,2,2184,New York,Brooklyn,40.675444,-73.8823121,0,3
Co-op for sale,300.0,3,1,600,Kings County,Kensington,40.6372695,-73.9712947,3,55
House for sale,729.0,3,3,2184,New York,Queens,40.7052223,-73.7583006,0,11
Co-op for sale,750.0,2,2,2184,New York County,Manhattan,40.7651716,-73.9678719,1,4
House for sale,599.0,3,2,1120,New York,Staten Island,40.5863749,-74.1470603,0,1
Co-op for sale,825.0,1,2,1100,New York County,Manhattan,40.7766673,-73.9439269,1,4
House for sale,800.0,3,2,2184,New York,Brooklyn,40.6899365,-73.9294828,0,3
Co-op for sale,289.0,3,1,2184,Kings County,Kensington,40.646116,-73.98134,3,55
Co-op for sale,899.999,2,1,2184,New York County,Manhattan,40.7308571,-73.9878596,1,4
Townhouse for sale,868.0,2,2,1152,New York,Queens,40.7259203,-73.8814296,0,11
House for sale,1500.0,3,2,1240,New York,Brooklyn,40.6045606,-74.0114555,0,3
House for sale,625.0,4,2,2184,New York,Brooklyn,40.6283989,-73.9334448,0,3
Pending,749.0,1,1,2184,New York County,Manhattan,40.7345653,-74.0041732,1,4
House for sale,520.0,3,2,1705,New York,The Bronx,40.8536129,-73.8933593,0,16
Multi-family home for sale,749.9,5,2,1400,New York,Brooklyn,40.6754664,-73.8780744,0,3
Multi-family home for sale,799.0,6,4,2310,New York,The Bronx,40.897885,-73.8562199,0,16
Co-op for sale,959.0,3,4,1993,Queens County,Queens Village,40.7564761,-73.7212008,5,91
Multi-family home for sale,888.0,5,3,2980,New York,Brooklyn,40.6484284,-73.9166783,0,3
House for sale,725.0,2,2,988,New York,Staten Island,40.5821761,-74.1078688,0,1
Condop for sale,1065.0,2,2,2184,New York,East 96th Street,40.7850141,-73.9481639,0,138
Condo for sale,744.0,2,1,890,Queens County,Astoria,40.7592629,-73.9257407,5,92
Pending,675.0,3,0,2780,New York County,Manhattan,40.7143933,-74.0088774,1,4
Co-op for sale,475.0,1,1,2184,Kings County,Crown Heights,40.671881,-73.961562,3,70
Co-op for sale,189.0,2,1,800,Bronx County,East Bronx,40.8522362,-73.8655005,4,49
House for sale,998.888,4,3,2184,New York,Queens,40.682563,-73.799077,0,11
Pending,675.0,3,0,2780,New York County,Manhattan,40.7143933,-74.0088774,1,4
Multi-family home for sale,3250.0,6,4,3059,New York,Brooklyn,40.6877385,-73.9618932,0,3
Multi-family home for sale,769.0,7,2,2100,New York,Staten Island,40.6219621,-74.0832854,0,1
House for sale,648.998,3,2,1296,New York,The Bronx,40.8611669,-73.8467192,0,16
House for sale,1699.9,7,5,2418,New York,Brooklyn,40.6898884,-73.9085265,0,3
Pending,3250.0,8,5,2184,New York,Brooklyn,40.6467032,-73.9685896,0,3
Co-op for sale,395.25,1,1,650,Queens County,Astoria,40.7642499,-73.92761,5,92
House for sale,539.0,3,2,972,New York,Staten Island,40.6104417,-74.0628522,0,1
Townhouse for sale,1348.0,5,2,2184,New York,Queens,40.7462947,-73.8595834,0,11
Condo for sale,1450.0,3,3,1855,Queens County,Flushing,40.7573108,-73.8341865,5,8
Co-op for sale,465.0,2,1,2184,New York,Queens,40.7483992,-73.8795703,0,11
Co-op for sale,297.0,1,1,800,Queens County,Forest Hills,40.7322799,-73.85181,5,15
Co-op for sale,244.9,1,1,518,Queens County,Glen Oaks,40.7511183,-73.7160095,5,40
House for sale,2480.0,4,4,5150,New York,Queens,40.7932103,-73.8161976,0,11
Co-op for sale,230.0,1,1,2184,Queens County,Flushing,40.736005,-73.849174,5,8
Condo for sale,780.0,2,2,825,New York,Brooklyn,40.6288601,-73.9704912,0,3
Co-op for sale,539.999,3,2,2184,Queens County,Jackson Heights,40.7563263,-73.8752379,5,18
Co-op for sale,750.0,2,2,1193,Bronx County,Spuyten Duyvil,40.8825618,-73.9212739,4,36
Condo for sale,2249.0,2,3,2321,New York County,Manhattan,40.7486775,-73.9819284,1,4
Co-op for sale,270.0,2,1,700,Queens County,Astoria,40.7751901,-73.9090015,5,92
Pending,399.0,2,1,2184,New York County,Manhattan,40.7631466,-73.9622114,1,4
Co-op for sale,1950.0,2,2,2184,New York County,Manhattan,40.7380264,-74.0053843,1,4
Co-op for sale,240.0,2,1,2184,Queens County,Woodhaven,40.6987743,-73.8529203,5,33
Condo for sale,628.0,3,2,900,Queens County,Elmhurst,40.7376925,-73.8803546,5,9
Co-op for sale,399.0,2,1,2184,Queens County,Flushing,40.7544847,-73.8740993,5,8
House for sale,687.0,2,1,2184,New York,The Bronx,40.8214203,-73.8062717,0,16
Townhouse for sale,588.0,2,2,2000,New York,Staten Island,40.5904561,-74.1521059,0,1
Multi-family home for sale,825.0,5,3,2184,New York,The Bronx,40.8296973,-73.8768124,0,16
Co-op for sale,240.0,2,1,2184,Queens County,Woodhaven,40.6987743,-73.8529203,5,33
Condo for sale,285.0,2,1,835,Bronx County,Parkchester,40.8396194,-73.8587548,4,50
Condo for sale,595.0,3,1,915,Kings County,Bedford-Stuyvesant,40.6944083,-73.9595899,3,34
Condo for sale,899.0,2,2,1697,Richmond County,Mid Island,40.6403656,-74.0737574,6,25
Townhouse for sale,2995.0,5,2,4900,New York,New York,40.8178071,-73.9440991,0,2
House for sale,1180.0,4,3,2184,New York,Queens,40.7335974,-73.7788656,0,11
Contingent,799.9,4,4,1816,New York,Staten Island,40.5570416,-74.1462231,0,1
Co-op for sale,130.0,1,1,2184,Bronx County,Fordham Manor,40.8653458,-73.9073691,4,98
House for sale,849.999,3,2,2184,New York,Queens,40.7226341,-73.8165656,0,11
Co-op for sale,185.0,1,1,850,New York,The Bronx,40.8789917,-73.9020914,0,16
House for sale,1275.0,4,2,2184,New York,Queens,40.7289806,-73.7083891,0,11
Multi-family home for sale,2798.0,5,3,3400,New York,Brooklyn,40.657854,-73.975525,0,3
Co-op for sale,359.0,2,1,950,Queens County,Flushing,40.7733297,-73.8274665,5,8
Pending,435.0,1,1,2184,Kings County,Brooklyn Heights,40.6969047,-73.9948252,3,52
House for sale,988.0,3,1,1296,New York,Queens,40.7540089,-73.8189203,0,11
Co-op for sale,800.0,1,1,2184,New York County,Manhattan,40.7486602,-73.9720523,1,4
Co-op for sale,400.0,2,1,2184,Queens County,Jackson Heights,40.7536299,-73.88596,5,18
Multi-family home for sale,965.0,5,3,3520,New York,The Bronx,40.8247021,-73.8766066,0,16
Multi-family home for sale,1389.0,5,2,2412,New York,Brooklyn,40.6157428,-73.9345355,0,3
Condo for sale,525.0,3,2,1185,Bronx County,Clason Point,40.807969,-73.854213,4,139
House for sale,849.999,3,2,2184,New York,Queens,40.7226341,-73.8165656,0,11
Pending,289.0,1,2,1213,Queens County,Queens Village,40.7564761,-73.7212008,5,91
Co-op for sale,279.0,2,1,2184,New York,Queens,40.7408626,-73.7553116,0,11
Multi-family home for sale,1850.0,3,4,2184,New York,Brooklyn,40.6140608,-73.9853215,0,3
Multi-family home for sale,2599.0,11,6,5088,New York,Queens,40.7709381,-73.8973789,0,11
Co-op for sale,250.0,1,1,800,Kings County,Midwood,40.6180698,-73.9699744,3,6
Co-op for sale,2250.0,3,2,2000,New York,Brooklyn,40.665708,-73.976288,0,3
Multi-family home for sale,1800.0,9,7,2184,New York,Queens,40.7723063,-73.9110206,0,11
Co-op for sale,350.0,3,2,1100,Kings County,Flatlands,40.6297036,-73.9255951,3,58
House for sale,1649.0,4,3,1452,New York,Brooklyn,40.7039659,-73.9210676,0,3
Pending,1395.0,2,2,1028,Kings County,Park Slope,40.670563,-73.981488,3,29
House for sale,1370.0,6,3,2184,New York,Queens,40.7102471,-73.8049849,0,11
Co-op for sale,360.0,2,1,2184,New York County,Manhattan,40.8165004,-73.9411037,1,4
Co-op for sale,1050.0,1,1,2184,New York,5th Avenue,40.7316673,-73.996478,0,140
Condo for sale,2200.0,2,2,1308,New York County,Manhattan,40.7740269,-73.9632939,1,4
House for sale,650.0,3,2,1218,New York,Staten Island,40.6306934,-74.0794192,0,1
House for sale,345.0,3,2,2184,New York,Queens,40.701334,-73.772164,0,11
Pending,299.0,3,1,2184,New York County,Manhattan,40.76907,-73.987788,1,4
House for sale,1578.0,5,3,2152,New York,Queens,40.7346802,-73.7905086,0,11
House for sale,715.0,3,2,2184,New York,Queens,40.701497,-73.7613803,0,11
Townhouse for sale,600.0,3,1,2184,Kings County,Ocean Hill,40.6786381,-73.910662,3,73
House for sale,850.0,3,2,1090,New York,Staten Island,40.5952951,-74.1039687,0,1
Condo for sale,1949.0,2,2,1288,New York County,Manhattan,40.7234874,-73.976864,1,4
Multi-family home for sale,1599.999,5,4,3773,New York,Staten Island,40.5461245,-74.1826661,0,1
House for sale,640.0,3,2,1110,New York,Staten Island,40.542861,-74.154978,0,1
Contingent,799.9,3,4,3510,New York,Staten Island,40.641795,-74.090599,0,1
Pending,1599.0,6,4,3690,New York,Queens,40.7552678,-73.8822127,0,11
Contingent,695.0,3,1,650,New York County,Manhattan,40.727533,-73.99017,1,4
Contingent,740.0,3,2,1976,New York,Staten Island,40.6020874,-74.071448,0,1
Co-op for sale,329.0,1,1,764,Kings County,Fort Hamilton,40.6141658,-74.0353827,3,12
Multi-family home for sale,750.0,4,2,2340,New York,The Bronx,40.8959494,-73.85177,0,16
House for sale,1450.0,4,4,1746,New York,Brooklyn,40.6212482,-74.0338909,0,3
Condo for sale,1999.999,3,3,1800,Kings County,Brighton Beach,40.5770098,-73.958346,3,30
House for sale,899.888,4,2,2185,New York,Staten Island,40.6215947,-74.1404429,0,1
Co-op for sale,379.0,2,1,900,Queens County,Flushing,40.7194655,-73.8183058,5,8
Multi-family home for sale,879.0,4,2,1824,New York,Staten Island,40.5452993,-74.1492507,0,1
Co-op for sale,1030.0,2,2,1077,New York County,Manhattan,40.7849374,-73.9480901,1,4
Co-op for sale,699.999,1,2,2184,New York County,Manhattan,40.7826608,-73.9723737,1,4
Co-op for sale,388.0,2,1,2184,New York,Queens,40.7272034,-73.8471901,0,11
Condo for sale,1750.0,1,1,937,New York County,Manhattan,40.7330327,-73.9891825,1,4
Co-op for sale,995.0,1,1,2184,Kings County,Williamsburg,40.7201147,-73.9581256,3,23
House for sale,599.999,5,4,2184,New York,Queens,40.6836616,-73.7970345,0,11
Co-op for sale,300.0,1,1,2184,New York County,Manhattan,40.8050658,-73.9524985,1,4
Co-op for sale,389.0,1,1,900,Queens County,Flushing,40.7427717,-73.8796707,5,8
Co-op for sale,875.0,1,2,2184,New York County,Manhattan,40.7710157,-73.9642556,1,4
Condo for sale,3000.0,3,3,2100,New York,New York,40.7590132,-73.9612618,0,2
Multi-family home for sale,850.0,3,2,2194,New York,The Bronx,40.8467388,-73.8189548,0,16
House for sale,925.0,3,2,2184,New York,Queens,40.737003,-73.904942,0,11
House for sale,799.0,5,3,2184,New York,Queens,40.7039425,-73.7459355,0,11
Pending,1399.0,4,2,1800,New York,Queens,40.768361,-73.7747442,0,11
House for sale,1880.0,3,5,1920,New York,Queens,40.7492709,-73.8119666,0,11
Co-op for sale,375.0,3,1,2184,New York County,Manhattan,40.764038,-73.993548,1,4
Co-op for sale,269.0,1,1,625,Kings County,Bay Ridge,40.632218,-74.0321902,3,37
House for sale,925.0,3,2,2184,New York,Queens,40.737003,-73.904942,0,11
House for sale,799.0,5,3,2184,New York,Queens,40.7039425,-73.7459355,0,11
House for sale,589.0,3,2,1120,New York,Brooklyn,40.6697595,-73.8692311,0,3
Co-op for sale,239.0,1,1,700,Kings County,Homecrest,40.6073781,-73.9601827,3,85
Co-op for sale,385.0,1,1,2184,Queens County,Flushing,40.7505242,-73.8847507,5,8
Condo for sale,1000.0,1,1,773,New York County,Manhattan,40.7574596,-73.9793586,1,4
Pending,2800.0,5,4,3400,New York,Brooklyn,40.6435168,-73.9669556,0,3
Co-op for sale,130.0,3,1,2184,Queens County,Jamaica,40.7104509,-73.7982064,5,35
Contingent,789.888,4,2,1865,New York,Staten Island,40.5476973,-74.1752129,0,1
House for sale,798.0,3,2,760,New York,Queens,40.7392555,-73.8523054,0,11
Co-op for sale,495.0,1,1,2184,New York County,Manhattan,40.7238926,-73.9893733,1,4
Condo for sale,555.0,1,1,649,Queens County,Flushing,40.7206509,-73.808539,5,8
Co-op for sale,1274.0,3,2,2184,New York County,Manhattan,40.7482245,-73.9795398,1,4
Co-op for sale,349.0,2,1,2184,Queens County,Jamaica,40.7052273,-73.8336358,5,35
House for sale,2500.0,3,2,2184,New York,Brooklyn,40.6637132,-73.9806843,0,3
Pending,1250.0,1,1,2184,New York County,Manhattan,40.7340094,-73.9963862,1,4
