Loai,Gia(USD),So phong ngu,So phong tam,Dien tich(feet),Khu vuc,Duong,Vi do,Kinh do
Pending,1.15,2,2,2184,New York County,Manhattan,40.74958,-73.9790355
Pending,0.299,2,1,2184,Queens County,Howard Beach,40.6642386,-73.8477653
Co-op for sale,0.499,1,1,2184,New York,New York,40.7135079,-73.9794056
Condo for sale,0.51,2,2,972,New York,The Bronx,40.806756,-73.853097
Condo for sale,0.825,2,2,1001,New York County,Manhattan,40.8241865,-73.939702
House for sale,1.15,3,2,1352,New York,The Bronx,40.871637,-73.8984353
Co-op for sale,0.165,1,1,750,Bronx County,North Riverdale,40.9047804,-73.9057444
House for sale,0.8749,3,4,1500,New York,Staten Island,40.5891334,-74.1468153
Multi-family home for sale,1.499999,8,6,2184,New York,Brooklyn,40.7028149,-73.9165356
Pending,0.495,2,2,1100,Kings County,Fort Hamilton,40.6123382,-74.0356075
Co-op for sale,0.245,1,1,863,Bronx County,Norwood,40.8758111,-73.8765929
Condo for sale,0.565,1,1,804,Kings County,Gravesend,40.6053887,-73.9787595
Co-op for sale,1.95,3,2,1265,New York County,Manhattan,40.7957847,-73.9498024
Multi-family home for sale,0.699,2,3,2184,New York,Brooklyn,40.6769065,-73.9327329
Co-op for sale,1.2,1,1,1120,New York County,Manhattan,40.7088594,-74.001287
House for sale,1.425,5,4,2184,New York,Queens,40.7399679,-73.826261
Multi-family home for sale,1.595,9,6,4420,New York,Brooklyn,40.6777679,-73.9189779
Multi-family home for sale,1.495,3,6,5148,New York,Brooklyn,40.6137576,-73.9878002
Multi-family home for sale,2.375,4,4,2184,New York,Brooklyn,40.6537775,-73.9770686
House for sale,1.425,5,4,2184,New York,Queens,40.7399679,-73.826261
House for sale,1.248,4,2,2450,United States,Kings County,40.6056129,-73.9396751
Multi-family home for sale,1.499999,8,6,2184,New York,Brooklyn,40.7028149,-73.9165356
Pending,0.495,2,2,1100,Kings County,Fort Hamilton,40.6123382,-74.0356075
Condo for sale,0.565,1,1,804,Kings County,Gravesend,40.6053887,-73.9787595
Co-op for sale,0.165,1,1,750,Bronx County,North Riverdale,40.9047804,-73.9057444
Co-op for sale,0.399,1,1,675,New York County,Manhattan,40.8581217,-73.9322431
Co-op for sale,0.475,3,1,2184,New York County,Manhattan,40.7662222,-73.9516342
Pending,1.295,1,1,2184,New York County,Manhattan,40.7722757,-73.979081
Co-op for sale,0.825,2,2,2184,New York County,Manhattan,40.7636334,-73.9803004
Multi-family home for sale,1.849,6,3,3001,New York,Brooklyn,40.6648195,-73.9891783
Co-op for sale,0.699,1,1,700,New York County,Manhattan,40.776434,-73.9771489
Pending,0.42,1,1,2184,New York County,Manhattan,40.7661564,-73.9700846
Condo for sale,0.32,2,1,802,Bronx County,Parkchester,40.840912,-73.8545918
Co-op for sale,0.525,1,1,2184,New York County,Manhattan,40.7670221,-73.9628426
Land for sale,1.1,3,2,2184,New York,Queens,40.7526719,-73.854675
Co-op for sale,0.65,2,2,2184,New York County,Manhattan,40.7581185,-73.9620574
Co-op for sale,1.65,1,1,2184,New York County,Manhattan,40.7737439,-73.9586221
Co-op for sale,1.425,2,2,2184,New York County,Manhattan,40.7730858,-73.9528703
Condo for sale,0.418,1,1,684,Queens County,College Point,40.7946644,-73.8473931
Multi-family home for sale,1.399,8,6,3448,New York,Brooklyn,40.6255774,-73.913355
House for sale,0.339,2,1,700,New York,Staten Island,40.5633004,-74.1004012
Pending,0.5999,6,4,2184,New York,Staten Island,40.6412495,-74.083228
Co-op for sale,0.4,1,1,2184,Queens County,Astoria,40.762146,-73.9318948
House for sale,0.699,3,1,4000,New York,Queens,40.6969277,-73.7655056
Condo for sale,1.325,2,2,2184,New York County,Manhattan,40.7622732,-73.9767193
Condo for sale,1.75,6,3,3364,New York,Brooklyn,40.6585715,-73.9507462
Multi-family home for sale,2.1,3,3,2000,New York,Brooklyn,40.6756187,-74.0002793
Co-op for sale,0.2059,1,1,750,Queens County,Kew Gardens,40.7119297,-73.826361
Co-op for sale,0.265,1,1,765,Kings County,Midwood,40.6180698,-73.9699744
Co-op for sale,0.16999899999999998,1,1,2184,Queens County,Howard Beach,40.6661012,-73.8471882
House for sale,0.775,3,1,1696,New York,The Bronx,40.8377397,-73.8241472
House for sale,0.685,4,2,2269,New York,Staten Island,40.5849183,-74.1599388
Co-op for sale,0.699,1,1,700,New York County,Manhattan,40.776434,-73.9771489
Pending,0.42,1,1,2184,New York County,Manhattan,40.7661564,-73.9700846
Multi-family home for sale,1.245,7,6,2184,New York,Queens,40.7591289,-73.8579008
Co-op for sale,0.795,1,1,2184,New York County,Manhattan,40.7707242,-73.9542132
Condo for sale,0.445,3,1,402,Queens County,Long Island City,40.7680157,-73.9174508
Co-op for sale,0.399,2,1,960,Kings County,Coney Island,40.5792324,-73.9713245
Multi-family home for sale,1.99,6,5,2150,New York,Queens,40.7557556,-73.7774071
Co-op for sale,0.529,2,1,2184,New York County,Manhattan,40.8558902,-73.9351781
Co-op for sale,0.595,1,1,2184,New York County,Manhattan,40.8540347,-73.9393276
Co-op for sale,0.525,3,2,2184,Kings County,Coney Island,40.5794182,-73.9709078
Co-op for sale,0.479,2,1,1100,Kings County,Coney Island,40.5778092,-73.9728288
Co-op for sale,0.46,2,1,2184,New York County,Manhattan,40.8002612,-73.9648347
House for sale,1.2,4,2,2184,New York,Queens,40.75515,-73.7757869
Condo for sale,0.599,1,1,626,New York County,Manhattan,40.7920582,-73.9393346
Co-op for sale,0.35,3,1,2184,New York County,Manhattan,40.7556998,-73.9717539
Condo for sale,0.42,1,1,668,Kings County,Brighton Beach,40.5783101,-73.9670934
Contingent,2.4,3,2,3248,New York,Brooklyn,40.6647715,-73.9353047
Co-op for sale,2.199,2,2,1770,New York County,Manhattan,40.7899034,-73.9774703
Co-op for sale,0.595,1,1,700,New York County,Manhattan,40.754338,-73.964711
Co-op for sale,0.249,2,1,1000,Kings County,Sheepshead Bay,40.5926635,-73.9388739
Co-op for sale,0.585,1,1,2184,New York County,Manhattan,40.8570262,-73.9361002
Multi-family home for sale,1.18,8,4,3321,New York,The Bronx,40.8307543,-73.8757325
Co-op for sale,0.115,3,1,550,Bronx County,West Bronx,40.8716219,-73.8826018
Condo for sale,0.779,1,1,638,New York County,Manhattan,40.7422824,-73.9781111
Multi-family home for sale,1.85,12,7,4719,New York,Brooklyn,40.6395826,-74.0081915
Townhouse for sale,0.925,3,2,1875,New York,Queens,40.7318932,-73.8001903
Pending,0.36,1,1,2184,New York County,Manhattan,40.7711911,-73.9516646
House for sale,0.685,4,2,2269,New York,Staten Island,40.5849183,-74.1599388
Co-op for sale,1.45,4,2,2184,New York County,Manhattan,40.7494389,-73.9768133
Co-op for sale,0.329,2,1,2184,Queens County,Bayside,40.7807824,-73.7743544
House for sale,0.699,3,2,1008,New York,Staten Island,40.6306551,-74.1655807
Multi-family home for sale,1.075,7,3,2184,New York,Brooklyn,40.6888948,-73.9059091
Multi-family home for sale,0.79,4,3,1784,New York,The Bronx,40.8510197,-73.8533944
Co-op for sale,2.199,2,2,1770,New York County,Manhattan,40.7899034,-73.9774703
Co-op for sale,0.585,1,1,2184,New York County,Manhattan,40.8570262,-73.9361002
House for sale,1.175,3,2,2184,New York,Brooklyn,40.5790606,-73.9612505
Pending,0.825,2,1,2184,New York,Queens,40.7542784,-73.8933876
House for sale,0.899,2,2,1056,New York,Brooklyn,40.603279,-74.014377
Condo for sale,0.795,1,1,860,New York County,Manhattan,40.7614804,-73.9610613
Co-op for sale,0.275,1,1,880,Kings County,Kensington,40.6329634,-73.9709274
Multi-family home for sale,0.775,6,2,2910,New York,The Bronx,40.8501271,-73.8669885
House for sale,2.15,2,2,2184,New York County,Manhattan,40.7479844,-73.9728389
House for sale,0.899,3,1,2184,New York,Queens,40.7543613,-73.9077947
House for sale,0.699,5,4,1838,New York,The Bronx,40.8677282,-73.8849595
Multi-family home for sale,0.904,4,3,2184,New York,Queens,40.7236308,-73.8094885
House for sale,0.669,3,1,2184,New York,Queens,40.6899622,-73.8484421
Co-op for sale,0.279,1,1,2184,Queens County,Rego Park,40.7312899,-73.85773
Co-op for sale,0.33,1,1,656,Queens County,Flushing,40.7843012,-73.7761962
House for sale,1.175,3,2,2184,New York,Brooklyn,40.5790606,-73.9612505
Co-op for sale,0.399,3,1,2184,New York County,Manhattan,40.7697297,-73.9590126
Co-op for sale,0.74,2,1,2184,New York County,Manhattan,40.7887084,-73.9700091
House for sale,0.59,5,3,1152,New York,Queens,40.6019328,-73.7587155
Multi-family home for sale,0.775,6,2,2910,New York,The Bronx,40.8501271,-73.8669885
House for sale,1.25,3,2,2049,New York,Brooklyn,40.6520971,-73.9451094
Co-op for sale,0.975,2,2,1270,New York County,Manhattan,40.8370331,-73.9477948
Condo for sale,0.849,3,2,2184,New York County,Manhattan,40.7719831,-73.9802428
House for sale,1.699,3,2,2200,New York,Brooklyn,40.6870728,-73.9584649
Co-op for sale,1.195,2,2,2184,New York County,Manhattan,40.77475,-73.9488864
Co-op for sale,0.19,3,1,500,Queens County,Jamaica,40.7122499,-73.78851
Co-op for sale,0.405,3,1,550,New York County,Manhattan,40.7740666,-73.9522989
Co-op for sale,0.1695,1,1,2184,Bronx County,East Bronx,40.8531021,-73.8636237
House for sale,0.7382799999999999,3,2,1302,New York,Queens,40.6619508,-73.7548417
Multi-family home for sale,0.95,5,2,1660,New York,Brooklyn,40.5792869,-73.9603435
Condo for sale,0.8,3,1,916,New York,New York,40.7067114,-74.010457
Condo for sale,0.359,2,1,920,Kings County,East New York,40.654871,-73.8847697
Co-op for sale,1.95,2,3,2184,New York County,Manhattan,40.7695956,-73.9688773
Townhouse for sale,0.999,7,4,2184,New York,Brooklyn,40.6656785,-73.8916486
Co-op for sale,1.95,2,2,960,New York County,Manhattan,40.7373507,-74.0063169
Condo for sale,0.649,1,1,2184,New York County,Manhattan,40.8121684,-73.9523535
Condo for sale,1.175,4,2,2184,Queens County,Flushing,40.7932921,-73.7951779
House for sale,0.799,4,2,2184,New York,Queens,40.6757849,-73.8361627
Condo for sale,0.358,3,1,2184,Queens County,Flushing,40.7187728,-73.811168
Co-op for sale,0.189999,1,1,2184,Queens County,Jamaica,40.704719,-73.832559
Condo for sale,0.76,1,1,700,New York County,Manhattan,40.766298,-73.9881994
Multi-family home for sale,0.675999,3,2,2070,New York,The Bronx,40.8974036,-73.8427908
Condo for sale,0.38,3,1,393,Kings County,Bensonhurst,40.6184843,-74.0001507
Condo for sale,0.38,3,1,393,Kings County,Bensonhurst,40.6184843,-74.0001507
Condo for sale,0.8,3,1,916,New York,New York,40.7067114,-74.010457
Co-op for sale,0.379,2,1,2184,Queens County,Rego Park,40.7334099,-73.85851
Co-op for sale,0.995,2,2,2184,New York County,Manhattan,40.7699248,-73.9617134
Condo for sale,0.649,3,2,1150,Kings County,Bergen Beach,40.6280068,-73.9155812
Condo for sale,0.475,1,1,739,Kings County,Brighton Beach,40.5789422,-73.9632143
Pending,0.45,2,1,2184,Queens County,Jackson Heights,40.749416,-73.8796895
Multi-family home for sale,1.799,11,6,5031,New York,Brooklyn,40.608348,-73.9903259
House for sale,1.5,8,5,2184,New York,The Bronx,40.8838882,-73.908028
Townhouse for sale,2.299,7,6,2184,New York,New York,40.8066101,-73.9390361
Pending,0.21,1,1,850,Kings County,Kensington,40.6466766,-73.9740956
Co-op for sale,0.579,3,2,1200,Queens County,Flushing,40.7346339,-73.8602384
House for sale,1.175,3,2,2184,New York,Brooklyn,40.577735,-73.9632478
Condo for sale,0.648888,2,2,950,Queens County,Flushing,40.7188694,-73.8111217
Multi-family home for sale,0.989,7,5,3978,New York,Queens,40.6659011,-73.854748
Co-op for sale,0.995,1,1,2184,New York County,Manhattan,40.7440497,-73.9980389
Co-op for sale,0.1549,1,1,700,Bronx County,Fordham Manor,40.8646563,-73.9082145
Condo for sale,0.399,1,1,577,Kings County,Bay Ridge,40.6373585,-74.0272224
Condo for sale,0.589,3,1,415,New York County,Manhattan,40.7602412,-73.9954328
Pending,0.565,2,2,1238,New York,Staten Island,40.5493207,-74.1744217
Townhouse for sale,0.76,2,2,2337,New York,Staten Island,40.5148559,-74.2032529
Co-op for sale,0.19999899999999998,3,1,471,Queens County,Forest Hills,40.7223099,-73.84153
Co-op for sale,2.5,3,2,3200,New York County,Manhattan,40.7468872,-73.9910651
House for sale,0.749999,3,2,2184,New York,Brooklyn,40.6485435,-73.9292272
Co-op for sale,1.595,2,2,2184,New York County,Manhattan,40.7942107,-73.9761618
Co-op for sale,0.258,3,1,500,Queens County,Flushing,40.7666016,-73.8157611
House for sale,0.685,3,2,1280,New York,Staten Island,40.5491914,-74.1660279
Multi-family home for sale,0.599,5,2,2184,New York,Queens,40.607379,-73.754678
Condo for sale,0.245,1,1,800,Richmond County,Castleton Corners,40.6189484,-74.1071576
Co-op for sale,0.729,3,2,1400,Bronx County,Riverdale,40.8924692,-73.9091145
Multi-family home for sale,0.779,3,2,1557,New York,The Bronx,40.8494439,-73.8515779
Condo for sale,1.09,3,3,1295,Kings County,Mapleton,40.6260941,-73.9815074
Co-op for sale,0.365,2,1,925,Kings County,Gravesend,40.602199,-73.9709488
Pending,1.099,1,1,715,Kings County,Williamsburg,40.719753,-73.9642643
Condo for sale,1.99,2,2,1309,New York County,Manhattan,40.7439229,-73.9937052
Multi-family home for sale,1.2,6,4,2808,New York,The Bronx,40.8928243,-73.8348075
Co-op for sale,0.473,2,1,1000,Kings County,Manhattan Beach,40.5782536,-73.9534785
Co-op for sale,2.348,3,4,2184,New York County,Manhattan,40.7526263,-73.9658766
Condo for sale,0.995,1,1,2184,New York,New York,40.7344156,-73.9836325
Contingent,0.85,8,3,1976,New York,Brooklyn,40.6729629,-73.9207117
Co-op for sale,0.133,1,1,630,Bronx County,East Bronx,40.8720291,-73.8695302
Multi-family home for sale,1.548,9,4,4539,New York,Queens,40.7534193,-73.8628811
Contingent,0.468,3,1,2184,New York County,Manhattan,40.7767637,-73.9843469
Multi-family home for sale,0.85,5,3,3024,New York,The Bronx,40.8770223,-73.8585612
Multi-family home for sale,0.995,6,3,2125,United States,Kings County,40.5895073,-73.9855167
Co-op for sale,2.348,3,4,2184,New York County,Manhattan,40.7526263,-73.9658766
Co-op for sale,1.85,3,2,2184,New York County,Manhattan,40.7377082,-73.9819095
Co-op for sale,0.3988,1,1,2184,Queens County,Jackson Heights,40.7505816,-73.8847602
Co-op for sale,0.1425,3,1,2184,Queens County,Jamaica,40.7048447,-73.8022389
House for sale,2.57,5,2,2000,New York,Brooklyn,40.6193875,-74.0353364
Co-op for sale,0.225,1,1,900,Bronx County,Allerton,40.8574263,-73.8708848
Co-op for sale,0.345,1,1,900,Queens County,Flushing,40.7606023,-73.8222658
House for sale,0.875,5,2,1974,New York,Brooklyn,40.6174718,-73.9231114
Pending,1.188,7,2,2184,New York,Queens,40.696809,-73.842496
Co-op for sale,0.694,2,1,2184,Kings County,Crown Heights,40.6657959,-73.9527658
Co-op for sale,0.495,1,1,2184,New York County,Manhattan,40.767256,-73.9682231
Co-op for sale,0.649,1,1,687,New York County,Manhattan,40.7571111,-73.9630783
Condo for sale,0.659,2,1,714,Kings County,Flatbush,40.6486309,-73.9674377
Co-op for sale,0.429,2,1,850,Kings County,Bay Ridge,40.6343667,-74.0311335
Pending,0.959,2,2,1719,Queens County,Queens Village,40.7564761,-73.7212008
Multi-family home for sale,1.2999990000000001,12,6,4125,New York,Brooklyn,40.7009355,-73.9250748
Condo for sale,0.368,3,1,2184,Queens County,Bayside,40.7781488,-73.782075
House for sale,0.7587999999999999,3,2,1633,New York,Staten Island,40.5910792,-74.0801059
Condo for sale,1.795,2,2,1245,Kings County,Dumbo,40.7022611,-73.9854097
Multi-family home for sale,1.595,5,3,2184,New York,Queens,40.7435797,-73.8964717
Multi-family home for sale,1.089,4,3,2184,New York,Queens,40.7099505,-73.7626558
Condo for sale,0.735,1,1,2184,Queens County,Long Island City,40.7491662,-73.9406038
Pending,0.5599,2,1,1217,New York,Queens,40.6609023,-73.8371049
Co-op for sale,0.35,1,1,2184,New York County,Manhattan,40.8510315,-73.9416561
Condo for sale,0.78,3,3,1236,New York,Queens,40.767546,-73.8314686
Co-op for sale,0.173,3,1,500,Queens County,Flushing,40.7172419,-73.8336819
House for sale,0.995,4,2,2200,New York,Staten Island,40.6146934,-74.0996097
Multi-family home for sale,0.775,4,2,2184,New York,Queens,40.656902,-73.7523889
Condo for sale,1.649,1,1,800,New York County,Manhattan,40.7617008,-73.9996228
Multi-family home for sale,1.29,5,3,2184,New York,Queens,40.7404458,-73.9008992
House for sale,0.575,3,1,1390,New York,The Bronx,40.8069155,-73.8562067
House for sale,1.499,7,6,2184,New York,Queens,40.7952284,-73.8483228
Co-op for sale,0.8,2,1,1200,Kings County,Gravesend,40.6072346,-73.9847935
Co-op for sale,0.75,1,1,2184,New York,New York,40.7477728,-73.9794793
Condo for sale,1.75,2,2,1320,Kings County,Red Hook,40.6774843,-74.0147997
Condo for sale,0.698,1,1,2184,New York County,Manhattan,40.8162042,-73.9383242
Co-op for sale,0.425,1,1,2184,New York County,Manhattan,40.7643711,-73.9593578
Condo for sale,2.295,3,3,1615,New York County,Manhattan,40.7641145,-73.9651826
Multi-family home for sale,0.6899,3,4,2448,New York,Staten Island,40.6210192,-74.1602713
Co-op for sale,0.243,2,1,965,Bronx County,Fordham Manor,40.8643305,-73.9075188
Co-op for sale,1.995,4,2,2184,New York County,Manhattan,40.7129113,-73.9781415
Co-op for sale,0.25,3,1,2184,Queens County,Woodside,40.7593913,-73.9054195
House for sale,0.845,4,2,2184,New York,Queens,40.7108416,-73.7572751
Multi-family home for sale,0.915,8,3,1896,New York,The Bronx,40.8329348,-73.8535075
Condo for sale,0.5998880000000001,1,1,826,New York,Queens,40.7436341,-73.916415
Co-op for sale,0.325,2,1,2184,Queens County,Corona,40.7373584,-73.8574251
Townhouse for sale,0.999,4,2,2184,New York,Brooklyn,40.6964448,-73.9283241
Condo for sale,0.688,3,2,982,Kings County,Sunset Park,40.6403284,-74.0028134
House for sale,0.95,3,2,1308,New York,The Bronx,40.8704967,-73.9011805
Co-op for sale,0.249,1,1,750,Queens County,Rego Park,40.7326518,-73.8546547
Co-op for sale,0.465,1,1,2184,New York County,Manhattan,40.754143,-73.963502
Multi-family home for sale,2.499,7,8,3700,New York,Brooklyn,40.6278319,-74.024872
Condo for sale,0.409,1,1,559,Queens County,Flushing,40.7523131,-73.8324302
Condo for sale,0.63,2,2,750,Queens County,Flushing,40.7627502,-73.8267096
Multi-family home for sale,2.499,7,8,3700,New York,Brooklyn,40.6278319,-74.024872
Condo for sale,0.874,2,2,915,Kings County,Bushwick,40.694352,-73.919978
Co-op for sale,0.875,2,2,2184,New York County,Manhattan,40.7821142,-73.9544199
Co-op for sale,0.975,2,2,2184,New York County,Manhattan,40.7795544,-73.9848893
Co-op for sale,0.475,3,1,2184,New York County,Manhattan,40.8211783,-73.956073
Co-op for sale,0.975,1,1,2184,New York County,Manhattan,40.7933309,-73.9749909
House for sale,1.548,9,4,2184,New York,Queens,40.7534193,-73.8628811
Co-op for sale,0.175,1,1,627,Queens County,Jamaica,40.7101573,-73.7988498
Condo for sale,2.4,1,2,1427,New York County,Manhattan,40.7613258,-73.9774014
House for sale,0.988,4,4,2184,New York,Queens,40.7736469,-73.777944
Co-op for sale,0.299999,1,1,850,Queens County,Forest Hills,40.7249599,-73.84549
Co-op for sale,0.12,2,1,1100,Bronx County,Morrisania,40.8310613,-73.8998364
Condo for sale,1.995,3,2,1376,New York County,Manhattan,40.7451522,-73.9927778
Townhouse for sale,1.3,3,2,2184,New York,New York,40.8274367,-73.9438954
Condo for sale,1.4,3,2,1625,New York,Queens,40.5783596,-73.8365039
Condo for sale,1.08,1,2,941,Kings County,Bedford-Stuyvesant,40.685976,-73.9349974
House for sale,1.175,3,2,2184,New York,Brooklyn,40.5791234,-73.9613152
Co-op for sale,0.67,1,1,2184,New York County,Manhattan,40.7593483,-73.9617192
Land for sale,0.075,3,2,2184,United States,Queens County,40.6942163,-73.7530902
House for sale,1.499,5,4,3200,New York,Queens,40.5883964,-73.7934995
House for sale,1.2,4,2,2173,New York,Staten Island,40.5995725,-74.1264046
Multi-family home for sale,2.5,7,4,2660,New York,New York,40.7956068,-73.9338581
House for sale,0.799,3,2,2184,New York,Brooklyn,40.6284586,-73.9450168
House for sale,0.715,4,2,1866,New York,The Bronx,40.8151628,-73.8462531
Condo for sale,0.925,2,2,1033,New York County,Manhattan,40.7958546,-73.9464985
Multi-family home for sale,0.75,5,3,3327,New York,The Bronx,40.8959505,-73.859572
Multi-family home for sale,1.56,5,2,2184,New York,Brooklyn,40.6165009,-73.9885469
Multi-family home for sale,1.1,8,3,3312,New York,The Bronx,40.8315252,-73.8525427
Pending,0.78,3,2,1900,New York,Queens,40.7742555,-73.7407295
Co-op for sale,1.199,2,2,1000,New York County,Manhattan,40.775154,-73.962097
Multi-family home for sale,0.68,3,2,2375,New York,The Bronx,40.8902197,-73.8385449
Co-op for sale,0.53,1,1,2184,New York County,Manhattan,40.7478025,-73.9811899
Pending,0.595,1,1,2184,New York County,Manhattan,40.7271763,-74.0030659
Co-op for sale,0.475,2,1,2184,Queens County,Long Island City,40.7640468,-73.934811
Multi-family home for sale,0.9,8,5,2028,New York,The Bronx,40.8322942,-73.9291697
House for sale,1.049,3,1,1683,New York,Brooklyn,40.6249039,-74.0253417
Multi-family home for sale,0.995,7,5,2184,New York,Queens,40.6642913,-73.8554975
Co-op for sale,0.245,1,1,550,Kings County,Bay Ridge,40.6339001,-74.0299973
Condo for sale,0.695,2,2,1080,Kings County,Coney Island,40.5754825,-73.9747644
Contingent,0.436,2,1,912,New York,Staten Island,40.5132319,-74.1952211
Condo for sale,0.555,2,1,2184,New York,Queens,40.7689132,-73.8929233
Multi-family home for sale,1.25,11,6,2184,New York,Queens,40.787484,-73.8520832
Multi-family home for sale,0.928,3,4,1640,New York,Brooklyn,40.6527672,-74.0120752
House for sale,0.725,3,2,2184,New York,Queens,40.6763934,-73.7998105
Pending,0.938,2,2,1700,New York,Queens,40.7183478,-73.858704
Co-op for sale,0.199,1,1,550,Kings County,Midwood,40.614409,-73.9479665
Multi-family home for sale,0.854,6,2,2184,New York,The Bronx,40.8655935,-73.8916669
House for sale,1.439,4,2,2184,New York,Brooklyn,40.6857744,-73.9493686
Contingent,0.389,1,1,2184,New York County,Manhattan,40.777093,-73.956552
Co-op for sale,0.475,2,1,975,New York,Brooklyn,40.5989402,-73.9939759
Condo for sale,0.815,2,2,1000,Kings County,Sheepshead Bay,40.5869733,-73.9514755
Condo for sale,0.474,2,1,750,Kings County,Sunset Park,40.6442712,-73.9986359
Condo for sale,2.35,2,2,1572,New York County,Manhattan,40.7422513,-74.0010561
Co-op for sale,1.325,2,2,1250,New York County,Manhattan,40.779515,-73.9844714
Co-op for sale,0.59,2,1,800,Kings County,Flatbush,40.6311681,-73.9610093
Condo for sale,0.695,2,2,1080,Kings County,Coney Island,40.5754825,-73.9747644
Condo for sale,0.61,1,1,673,New York County,Manhattan,40.7082816,-74.0180413
Pending,1.238,3,2,1550,New York,Queens,40.7561033,-73.7889919
Multi-family home for sale,0.789,4,2,2184,New York,Brooklyn,40.6382091,-73.9325492
Contingent,0.6998880000000001,3,2,1870,New York,Staten Island,40.541476,-74.174618
Multi-family home for sale,0.854,6,2,2184,New York,The Bronx,40.8655935,-73.8916669
Condo for sale,1.299,1,2,1066,New York County,Manhattan,40.7617181,-73.969764
House for sale,0.632,4,2,1496,New York,Staten Island,40.5533858,-74.1974018
Co-op for sale,0.499,2,1,2184,New York,Queens,40.7272034,-73.8471901
House for sale,0.632,4,2,1496,New York,Staten Island,40.5533858,-74.1974018
Pending,0.895,2,1,2184,New York County,Manhattan,40.7443407,-74.0016248
Condo for sale,0.8,2,1,850,Kings County,Bedford-Stuyvesant,40.6813996,-73.9537521
Condo for sale,0.725,1,1,696,Kings County,Bedford-Stuyvesant,40.6802147,-73.9567445
Co-op for sale,0.3495,1,1,900,Queens County,Forest Hills,40.7157399,-73.83672
Co-op for sale,0.625,2,1,2184,New York County,Manhattan,40.8025988,-73.9673459
Multi-family home for sale,1.09,5,3,2184,New York,Queens,40.7110433,-73.9060792
Multi-family home for sale,1.348,6,3,2184,New York,Queens,40.7535493,-73.8547131
Co-op for sale,0.28,1,1,2184,Queens County,Flushing,40.7533266,-73.8265256
Co-op for sale,0.259,1,1,2184,Queens County,Elmhurst,40.7365072,-73.8733466
Condo for sale,0.55,3,1,446,New York County,Manhattan,40.7670912,-73.9616292
Co-op for sale,0.398,3,1,1000,Queens County,Flushing,40.7756728,-73.827111
Co-op for sale,0.329,2,1,850,United States,Bronx County,40.8223617,-73.8072499
Co-op for sale,0.385,1,1,2184,Kings County,Fort Hamilton,40.6249201,-74.0404698
Multi-family home for sale,1.325,9,3,2184,New York,Brooklyn,40.6817405,-73.8676128
House for sale,0.968,3,2,2845,New York,Staten Island,40.588988,-74.1530581
Co-op for sale,0.35,1,1,2184,Queens County,Rego Park,40.7337965,-73.8620837
Condo for sale,0.498,1,1,785,Queens County,Rego Park,40.7275115,-73.86069
Townhouse for sale,1.675,5,2,2100,New York,Brooklyn,40.6957069,-73.9344472
Co-op for sale,0.525,3,1,2184,New York County,Manhattan,40.7324146,-73.9898491
Co-op for sale,0.28,1,1,850,Kings County,Sheepshead Bay,40.5895139,-73.9497416
House for sale,0.849,4,2,2184,New York,Queens,40.6793288,-73.8192101
Condo for sale,1.25,1,1,855,New York County,Manhattan,40.7791164,-73.9482901
Condo for sale,0.359999,3,2,2184,Bronx County,Woodstock,40.8203804,-73.9109368
Co-op for sale,0.229,1,1,2184,Queens County,Astoria,40.7763731,-73.9073075
Land for sale,1.0025,3,2,2184,New York,The Bronx,40.892224,-73.9127628
Multi-family home for sale,1.499,6,4,3450,New York,Staten Island,40.5922552,-74.0972237
Condo for sale,0.385,2,1,919,Kings County,East New York,40.6543591,-73.8837899
Co-op for sale,0.695,1,1,2184,New York County,Manhattan,40.7640805,-73.9818551
Multi-family home for sale,1.799,7,2,4140,New York,The Bronx,40.8451935,-73.9036716
Condo for sale,0.585,3,2,2184,New York,Queens,40.7453084,-73.9445819
Pending,1.688,4,3,2880,New York,Queens,40.7897224,-73.8045254
Condo for sale,0.359999,3,2,2184,Bronx County,Woodstock,40.8203804,-73.9109368
Co-op for sale,0.179,1,1,600,Kings County,Little Haiti,40.6387293,-73.9490472
Co-op for sale,0.229,1,1,2184,Queens County,Astoria,40.7763731,-73.9073075
Condo for sale,2.1,3,3,1638,New York County,Manhattan,40.7585686,-73.9669708
Townhouse for sale,0.615,3,2,1664,New York,The Bronx,40.872068,-73.8605942
Co-op for sale,0.323,1,1,800,Kings County,Gravesend,40.5911414,-73.9676771
Condo for sale,0.88,1,1,713,New York,Queens,40.747145,-73.9408974
Land for sale,0.675,3,2,2184,New York,Brooklyn,40.5802632,-73.9638613
Condo for sale,1.5,2,2,1334,New York,New York,40.8084181,-73.9433027
Co-op for sale,0.425,3,1,2184,New York County,Manhattan,40.7631119,-73.9668867
Co-op for sale,2.175,4,4,2184,New York County,Manhattan,40.7468058,-73.9797483
Co-op for sale,1.296,2,2,1200,New York County,Manhattan,40.7709564,-73.9487946
Co-op for sale,0.45,2,1,1100,Kings County,Sheepshead Bay,40.595967,-73.9504018
Condo for sale,0.649,3,2,1770,Queens County,Rockaway Park,40.5838274,-73.8243138
Pending,1.295,2,2,2000,New York County,Manhattan,40.7450475,-73.9923569
Pending,1.775,2,2,2184,Kings County,Brooklyn Heights,40.6965907,-73.9926789
Co-op for sale,0.265,2,1,900,Kings County,Sheepshead Bay,40.5920038,-73.9410354
Pending,0.769,2,2,2184,New York,Queens,40.7339071,-73.8535727
